#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
50,Briante Weber,DEM,22,30.4,12.4,5.0,9.5,.524,0.9,1.8,.475,1.5,1.8,.872,0.5,5.1,5.6,3.8,2.6,0.1,2.7,2.5,2023
51,Jaylon Brown,PIN,31,28.0,12.4,4.0,8.9,.449,2.1,5.5,.376,2.3,2.9,.780,0.4,1.4,1.8,2.9,1.1,0.0,1.3,2.6,2023
52,Zach Auguste,BURS,30,23.8,12.3,4.7,7.8,.607,0.2,0.5,.400,2.6,4.5,.582,2.7,4.7,7.5,1.9,1.2,0.6,1.6,3.2,2023
53,Nigel Hayes,FEN,32,28.2,12.2,4.2,8.1,.519,1.7,3.7,.458,2.1,2.7,.779,1.2,3.6,4.8,2.0,1.3,0.3,0.9,2.3,2023
54,Ante Zizic,EFE,19,26.8,12.2,5.1,7.2,.701,0.0,0.0,.000,2.1,3.2,.667,2.6,4.5,7.1,1.4,0.8,1.0,1.6,2.4,2023
55,Markel Starks,DBI,32,27.1,12.2,4.3,10.1,.426,2.5,5.1,.494,1.0,1.2,.846,0.6,1.5,2.1,3.9,0.7,0.0,1.8,2.3,2023
56,Amath M'Baye,EFE,25,31.0,12.1,4.0,8.4,.481,1.6,4.2,.371,2.5,2.8,.899,1.3,4.0,5.3,1.2,0.6,0.6,1.0,2.0,2023
57,Ricky Tarrant,MANI,16,25.6,12.0,3.7,8.9,.415,0.9,2.9,.298,3.8,4.5,.833,0.4,1.8,2.1,3.2,0.8,0.0,1.6,2.8,2023
58,Derek Needham,BURS,32,29.9,11.9,4.0,9.9,.405,2.2,5.9,.367,1.7,2.0,.846,0.5,2.1,2.5,5.1,0.7,0.2,2.5,3.4,2023
59,Angelo Caloiaro,GAL,33,29.2,11.7,4.1,6.8,.607,0.7,1.5,.440,2.8,3.2,.876,2.5,3.5,6.0,2.4,0.6,0.2,1.1,1.6,2023
60,Roko Badzim,TOR,28,29.5,11.7,4.0,8.9,.448,2.1,5.7,.377,1.6,2.0,.804,0.6,2.0,2.6,2.9,0.9,0.0,1.7,2.0,2023
61,Angel Delgado,PIN,38,26.9,11.6,5.0,8.2,.612,0.0,0.1,.000,1.6,3.7,.432,4.0,4.6,8.6,1.6,0.7,0.2,1.7,2.9,2023
62,John Egbunu,GAZ,25,25.4,11.5,4.0,6.4,.631,0.0,0.0,.000,3.4,5.5,.623,2.8,4.8,7.6,0.7,0.7,1.3,1.9,2.5,2023
63,Demetre Rivers,DEM,29,32.0,11.5,4.5,9.1,.496,1.3,3.7,.358,1.1,1.4,.805,1.6,4.1,5.6,1.1,1.1,0.2,1.1,2.2,2023
64,Tyrus McGee,GAL,23,24.6,11.5,3.9,8.7,.452,2.0,5.1,.390,1.7,2.1,.776,0.4,1.7,2.1,2.3,1.1,0.1,1.7,3.0,2023
65,Josh Perkins,SOC,10,30.9,11.4,3.7,9.1,.407,1.9,5.3,.358,2.1,3.1,.677,0.6,2.6,3.2,5.6,1.0,0.2,2.9,2.7,2023
66,Yigit Arslan,BAHC,30,23.6,11.3,3.8,8.3,.460,2.5,5.7,.439,1.2,1.4,.857,0.7,3.4,4.1,1.5,0.6,0.0,1.3,1.8,2023
67,Shane Larkin,EFE,28,27.2,11.3,3.5,7.9,.450,2.0,5.6,.365,2.2,2.6,.847,0.3,2.4,2.7,4.5,1.2,0.1,1.8,1.5,2023
68,Andrew Harrison,MERK,27,29.7,11.3,3.4,9.7,.355,1.2,4.8,.256,3.1,4.0,.787,0.3,2.4,2.8,3.3,1.0,0.2,2.1,2.9,2023
69,Scottie Wilbekin,FEN,27,24.0,11.2,3.6,7.5,.473,2.3,4.9,.473,1.8,2.2,.831,0.3,1.5,1.8,4.4,0.9,0.0,1.3,2.0,2023
70,Leyton Hammonds,GAZ,21,30.2,11.2,4.1,9.5,.437,2.1,5.6,.373,0.8,0.9,.895,1.0,2.7,3.7,1.3,0.8,0.1,1.1,2.7,2023
71,Dee Bost,GAL,14,28.9,11.1,3.5,9.9,.353,2.3,7.1,.323,1.8,2.2,.806,0.4,1.9,2.3,5.4,1.2,0.1,1.6,2.2,2023
72,Anthony Clemmons,BURS,32,28.8,11.0,3.7,8.8,.418,1.9,4.8,.387,1.8,2.2,.812,0.5,2.2,2.7,3.0,1.1,0.2,1.9,3.0,2023
73,Nate Sestina,TUR,36,23.9,10.8,3.8,7.6,.496,2.1,4.8,.445,1.1,1.5,.774,0.8,2.6,3.4,0.8,0.5,0.7,1.0,2.8,2023
74,Marko Guduric,FEN,21,21.8,10.8,3.2,6.3,.508,1.5,4.0,.376,2.9,3.2,.897,0.4,1.6,2.0,3.7,1.1,0.0,1.8,2.9,2023
75,Conor Morgan,BAHC,12,27.3,10.8,3.6,7.7,.467,2.3,4.8,.491,1.3,1.7,.750,1.3,3.4,4.8,1.3,0.6,0.6,1.6,2.7,2023
76,Muhammed Baygul,BAHC,30,23.8,10.6,3.2,7.6,.419,1.1,3.6,.306,3.2,4.1,.774,0.4,2.9,3.3,2.4,0.7,0.0,2.3,2.9,2023
77,Johnny Hamilton,MERK,24,26.7,10.5,4.2,6.9,.606,0.0,0.0,.000,2.2,3.2,.688,2.4,4.7,7.1,0.5,0.5,1.9,1.7,3.0,2023
78,Martynas Sajus,DEM,30,23.9,10.5,4.2,6.6,.628,0.0,0.0,.000,2.2,2.9,.750,2.5,2.9,5.4,2.3,0.7,1.0,1.7,2.9,2023
79,Michal Sokolowski,BES,15,28.7,10.5,3.5,7.3,.482,1.1,3.3,.340,2.3,2.8,.810,2.1,3.0,5.1,1.7,0.8,0.1,0.8,2.7,2023
80,Dave Dudzinski,BURS,32,27.1,10.3,4.0,7.5,.527,1.2,2.8,.429,1.1,1.4,.818,1.7,2.9,4.6,1.5,0.8,0.1,0.7,2.4,2023
81,Gediminas Orelik,BES,15,30.4,10.2,2.9,8.7,.336,2.0,6.3,.319,2.3,2.8,.833,1.1,4.1,5.3,3.1,0.3,0.0,1.5,1.5,2023
82,Terrell Harris,DEM,27,27.9,10.0,4.0,8.6,.468,1.0,3.0,.333,0.9,1.3,.714,1.2,2.1,3.3,2.4,0.7,0.0,1.0,1.6,2023
83,Kartal Ozmizrak,BAHC,15,25.6,9.9,3.1,7.2,.426,1.9,4.4,.439,1.8,2.3,.771,0.7,2.3,2.9,3.5,0.4,0.1,1.5,2.1,2023
