#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
34,Deividas Dulkys,OBR,29,26.8,10.3,3.6,9.3,.381,2.3,6.4,.353,0.9,1.2,.771,0.5,2.0,2.5,2.6,0.7,0.1,1.6,2.6,2017
35,Beka Burjanadze,AND,29,21.0,10.3,3.3,6.6,.505,1.1,2.7,.416,2.6,3.2,.815,1.1,3.1,4.2,1.2,0.8,0.2,0.8,2.1,2017
36,Fernando San Emeterio,VAL,43,23.2,10.3,3.3,7.4,.451,0.9,2.5,.361,2.7,3.3,.829,0.4,2.2,2.6,2.2,0.4,0.0,1.6,1.0,2017
37,Henk Norel,ZAR,29,23.5,10.2,4.4,7.1,.614,0.0,0.0,.000,1.4,1.9,.764,2.4,3.8,6.1,1.1,0.3,0.7,1.3,2.8,2017
38,Bo McCalebb,GCN,35,21.2,10.2,3.9,8.0,.484,0.4,1.7,.220,2.0,2.7,.763,0.6,1.1,1.6,3.5,0.8,0.0,1.9,1.7,2017
39,Alberto Abalde,JOV,31,23.9,10.1,4.0,8.7,.459,0.9,2.8,.310,1.2,1.8,.691,1.0,2.5,3.5,1.8,0.8,0.1,1.3,1.9,2017
40,Davin White,TEN,35,22.7,9.9,3.1,8.5,.364,1.7,5.1,.339,2.0,2.4,.833,0.2,1.2,1.3,4.3,0.6,0.0,1.7,2.2,2017
41,Dejan Musli,UNI,34,19.9,9.9,4.1,7.5,.539,0.0,0.0,.000,1.8,3.0,.588,1.6,3.2,4.8,1.1,0.4,0.4,1.8,1.5,2017
42,Jonathan Tabu,BBB,28,22.8,9.9,3.3,7.9,.412,1.7,4.4,.379,1.7,2.1,.797,0.5,1.7,2.2,3.6,1.0,0.1,2.0,2.8,2017
43,Albert Sabat,JOV,32,24.2,9.8,3.0,6.8,.445,2.3,5.3,.444,1.4,1.6,.920,0.2,1.5,1.7,3.3,0.6,0.0,1.7,2.6,2017
44,David Jelinek,AND,35,20.9,9.8,3.7,8.5,.431,1.2,3.5,.336,1.3,1.6,.789,0.2,1.7,1.9,1.7,0.5,0.1,1.8,2.3,2017
45,Oliver Stevic,AND,32,17.6,9.7,3.7,6.1,.605,0.0,0.1,.000,2.3,3.3,.701,1.6,2.8,4.5,0.8,0.5,0.1,1.0,3.1,2017
46,Eimantas Bendzius,OBR,32,27.6,9.7,2.8,7.6,.369,1.3,4.3,.288,2.8,3.0,.928,1.2,3.2,4.4,0.8,0.7,0.2,1.5,1.9,2017
47,Patrik Auda,MAN,25,23.9,9.6,3.5,6.6,.527,0.7,1.4,.486,1.9,2.4,.814,1.0,3.0,3.9,0.8,0.4,0.0,1.2,2.2,2017
48,Micheal Eric,BBB,30,20.0,9.5,3.9,6.2,.620,0.0,0.0,.000,1.8,2.9,.616,2.4,3.2,5.6,0.3,0.4,0.8,1.8,3.1,2017
49,Isaac Fotu,ZAR,32,25.0,9.5,3.8,6.4,.603,0.1,0.7,.087,1.8,3.0,.589,2.0,3.7,5.7,0.7,0.6,0.2,0.8,1.8,2017
50,Artem Pustovyi,OBR,32,19.4,9.3,4.0,6.0,.663,0.0,0.0,.000,1.3,2.0,.683,1.4,1.9,3.3,0.3,0.4,1.0,1.7,3.0,2017
51,Kyle Fogg,UNI,37,16.0,9.3,2.6,5.6,.459,1.3,2.9,.440,2.9,3.4,.843,0.5,1.7,2.2,2.1,0.7,0.1,1.4,2.0,2017
52,Nikola Radicevic,BETIS,28,24.9,9.3,3.4,9.1,.374,0.8,3.1,.256,1.7,2.3,.750,0.3,2.1,2.4,2.7,0.9,0.0,2.0,2.2,2017
53,Sergi Vidal,JOV,31,28.2,9.2,3.1,7.5,.408,1.2,3.4,.349,1.9,2.4,.773,0.6,2.8,3.4,3.2,1.1,0.1,1.9,1.5,2017
54,David Walker,AND,35,25.9,9.0,3.1,6.9,.450,1.7,4.2,.418,1.0,1.3,.766,0.5,2.1,2.6,1.4,0.6,0.2,1.2,1.3,2017
55,Pako Cruz,MON,31,19.4,8.9,3.6,8.1,.442,0.8,2.7,.286,1.0,1.3,.769,0.5,1.1,1.5,2.0,0.6,0.0,2.0,2.3,2017
56,Gustavo Ayon,RMB,38,21.4,8.8,3.8,5.8,.655,0.0,0.1,.500,1.2,1.9,.635,2.0,4.4,6.4,1.7,0.9,0.8,1.3,2.4,2017
57,Sasha Vezenkov,FCB,35,18.8,8.7,3.2,6.1,.528,1.1,3.0,.356,1.2,1.5,.843,0.9,2.1,3.1,0.8,0.5,0.3,0.8,2.2,2017
58,Nemanja Radovic,MUR,30,18.6,8.7,3.5,6.8,.507,0.5,1.4,.341,1.3,1.7,.731,1.4,2.5,3.9,0.6,0.6,0.2,1.2,1.9,2017
59,Goran Suton,EST,32,24.5,8.6,3.3,7.3,.453,1.3,3.3,.377,0.8,1.5,.553,1.7,4.5,6.2,1.3,0.9,0.4,1.2,3.0,2017
60,Pablo Aguilar,GCN,32,18.3,8.5,3.1,6.3,.493,1.3,3.3,.381,1.1,1.6,.673,1.3,2.8,4.1,1.0,1.1,0.4,0.9,0.9,2017
61,Eulis Baez,GCN,34,20.4,8.5,3.1,5.9,.522,0.6,1.7,.322,1.8,2.4,.723,1.3,2.3,3.6,1.1,0.9,0.2,1.4,2.0,2017
62,Rafa Martinez,VAL,42,20.0,8.4,2.5,5.3,.475,1.8,3.6,.490,1.6,2.0,.802,0.1,1.2,1.2,1.8,0.3,0.0,1.1,1.7,2017
63,Petteri Koponen,FCB,30,21.4,8.4,2.9,6.6,.447,1.1,3.1,.348,1.4,1.6,.915,0.3,1.7,2.1,2.3,0.8,0.1,1.3,1.8,2017
64,Aleksandar Cvetkovic,MAN,24,19.4,8.1,2.2,5.9,.366,1.2,3.4,.358,2.6,2.8,.912,0.3,0.8,1.1,2.4,0.8,0.0,1.4,2.5,2017
65,Antoine Diot,VAL,38,22.3,8.1,2.7,6.8,.397,1.1,3.4,.336,1.6,2.0,.813,0.4,1.7,2.1,4.1,1.2,0.1,1.9,2.3,2017
66,Adam Waczynski,UNI,30,18.5,8.0,2.9,5.8,.497,1.6,3.6,.439,0.6,1.0,.633,1.0,1.5,2.4,1.0,0.6,0.1,0.8,1.8,2017
67,Anthony Randolph,RMB,37,19.5,7.9,3.0,6.8,.440,0.8,2.8,.304,1.1,1.7,.651,0.9,3.0,3.9,0.8,0.8,1.1,1.0,1.9,2017
68,Jamar Wilson,EST,30,16.1,7.9,2.6,6.0,.439,0.7,2.1,.313,2.0,2.3,.870,0.5,0.9,1.4,1.5,0.6,0.0,1.2,2.1,2017
69,Jaime Fernandez,EST,31,17.8,7.9,2.7,7.0,.384,0.7,2.6,.288,1.8,2.1,.848,0.4,1.5,1.8,1.6,0.9,0.0,1.0,1.9,2017
70,Anzejs Pasecniks,GCN,35,16.5,7.8,3.1,4.7,.657,0.2,0.3,.583,1.4,2.3,.620,1.2,1.9,3.1,0.3,0.4,0.7,0.7,1.9,2017
71,Stratos Perperoglou,FCB,29,20.5,7.8,3.0,7.0,.426,0.9,3.2,.290,0.9,1.6,.600,0.4,2.2,2.6,1.2,0.7,0.1,1.1,2.4,2017
72,Thanasis Antetokounmpo,AND,33,17.5,7.8,2.8,6.2,.456,0.4,1.7,.232,1.7,3.1,.554,1.1,2.7,3.8,0.8,0.6,0.9,1.5,3.0,2017
73,Jose Angel Antelo,MUR,32,19.7,7.8,2.6,6.4,.410,1.0,3.2,.320,1.5,1.8,.857,1.3,2.8,4.2,0.4,0.5,0.1,1.1,2.1,2017
74,Joe Trapani,MAN,30,19.9,7.7,2.8,6.4,.443,0.6,2.2,.262,1.5,2.0,.746,1.1,2.7,3.8,1.0,0.8,0.1,0.9,2.5,2017
75,Georgios Bogris,TEN,35,19.8,7.6,3.6,6.5,.557,0.0,0.1,.000,0.4,0.8,.481,1.3,2.7,3.9,0.9,0.5,0.2,0.9,2.5,2017
76,Pierre Oriola,VAL,41,15.0,7.6,3.0,5.0,.594,0.1,0.5,.316,1.4,2.0,.699,1.0,2.1,3.2,0.5,0.3,0.2,0.9,2.2,2017
77,Rolands Smits,MON,32,21.5,7.5,2.8,6.8,.416,0.7,2.6,.280,1.1,1.6,.673,1.4,2.4,3.9,0.5,0.3,0.2,1.5,2.4,2017
78,Royce O'Neale,GCN,35,19.9,7.5,2.9,6.7,.436,0.7,2.1,.333,0.9,1.0,.889,1.4,3.6,5.0,2.1,0.7,0.2,1.7,2.5,2017
79,Luka Doncic,RMB,42,19.8,7.5,2.6,5.9,.441,0.8,2.7,.295,1.5,1.9,.785,1.0,3.5,4.4,3.0,0.6,0.3,1.8,1.2,2017
80,Marjan Cakarun,MAN,32,19.7,7.4,3.0,5.9,.505,0.0,0.1,.000,1.4,2.0,.698,1.5,2.8,4.3,1.0,0.5,0.1,1.0,2.4,2017
81,Johannes Voigtmann,BASK,39,21.6,7.4,2.9,5.8,.502,0.7,2.1,.317,0.8,1.3,.647,1.7,3.8,5.5,1.7,0.8,0.5,1.3,2.5,2017
82,Joan Sastre,VAL,40,20.5,7.3,2.4,5.4,.447,0.8,2.4,.320,1.7,2.3,.739,0.7,1.2,2.0,1.7,0.9,0.2,1.1,1.7,2017
83,Luke Sikma,VAL,43,19.9,7.2,2.9,5.2,.558,0.4,1.2,.321,1.0,1.4,.746,1.7,3.5,5.3,2.0,1.1,0.3,1.3,2.5,2017
