#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
89,Nelson Weidemann,BVC,30,20.2,9.4,3.0,6.7,.441,1.4,3.6,.398,2.0,2.2,.923,0.5,1.8,2.3,1.9,1.2,0.1,2.3,2.5,2022
90,Shy Ely,MLP,33,28.6,9.4,3.5,8.2,.431,1.1,3.1,.347,1.3,1.6,.808,0.7,2.7,3.4,1.6,0.5,0.0,1.3,1.7,2022
91,Kyan Anderson,MLP,10,21.1,9.3,2.7,6.8,.397,1.1,3.4,.324,2.8,3.3,.848,0.4,0.9,1.3,1.9,0.9,0.0,1.4,1.4,2022
92,Cameron Wells,BAY,21,24.2,9.3,3.2,7.6,.419,0.9,2.1,.409,2.0,2.5,.811,0.3,2.0,2.3,4.4,0.9,0.0,2.1,1.7,2022
93,Skyler Bowlin,TBB,38,21.5,9.2,2.8,7.5,.375,2.4,6.3,.378,1.2,1.6,.763,0.7,1.2,1.9,3.5,0.7,0.0,1.7,1.8,2022
94,Tomas Kyzlink,BRO,24,25.4,9.1,3.3,7.7,.435,0.9,3.3,.275,1.5,2.2,.712,1.3,2.7,4.0,1.5,0.4,0.0,1.3,3.0,2022
95,Vladimir Lucic,BAY,32,23.1,9.1,2.8,6.2,.457,1.1,3.3,.327,2.4,2.8,.844,0.7,3.1,3.8,1.9,0.6,0.2,1.1,1.9,2022
96,Florian Koch,GIE,32,20.6,9.0,2.9,6.3,.463,1.5,3.5,.416,1.7,1.8,.964,0.8,2.4,3.2,0.7,0.3,0.1,0.9,1.6,2022
97,Luciano Parodi Gonzalez,OLI,18,21.9,8.9,3.4,7.4,.455,1.4,3.4,.419,0.7,0.9,.813,0.2,1.1,1.2,4.9,1.6,0.0,2.7,2.4,2022
98,Justin Gorham,TBB,30,21.3,8.9,3.3,6.5,.513,1.1,2.9,.364,1.2,1.7,.706,1.7,3.8,5.6,0.5,0.7,0.0,1.1,2.5,2022
99,Craig Moller,OLI,32,22.9,8.9,2.8,6.2,.457,1.1,2.9,.391,2.2,2.8,.784,1.5,3.3,4.9,1.6,0.7,0.4,0.9,1.7,2022
100,Filip Stanic,OLI,34,20.4,8.9,3.8,6.3,.605,0.0,0.0,.000,1.2,2.6,.456,2.1,3.0,5.1,1.1,0.3,0.4,1.7,1.7,2022
101,Phil Fayne,GIE,33,22.4,8.8,3.9,5.7,.681,0.0,0.1,.000,1.1,2.7,.404,2.7,2.1,4.8,0.7,0.5,0.4,1.3,2.7,2022
102,Trent Lockett,BVC,27,24.7,8.8,3.4,7.4,.463,0.8,2.3,.361,1.1,1.6,.698,1.0,2.6,3.6,2.7,0.6,0.3,1.8,2.6,2022
103,Quantez Robertson,FRA,29,29.0,8.8,3.0,8.8,.341,1.3,5.2,.257,1.4,1.8,.824,0.6,3.6,4.1,3.6,1.4,0.1,2.5,3.2,2022
104,Aigars Skele,OLI,17,22.8,8.7,3.2,7.1,.455,0.9,2.5,.357,1.4,1.8,.742,0.5,2.2,2.8,2.8,0.7,0.1,2.2,2.3,2022
105,Johannes Thiemann,BER,36,16.8,8.6,2.7,5.2,.524,0.4,1.5,.296,2.7,3.3,.829,1.4,2.8,4.2,1.9,0.7,0.1,1.9,1.4,2022
106,Nick Weiler-Babb,BAY,39,23.9,8.6,3.0,6.1,.490,1.2,3.1,.383,1.4,1.6,.844,1.1,2.9,3.9,2.9,1.2,0.2,1.3,2.4,2022
107,Patrick Heckmann,BRO,17,25.6,8.5,2.6,5.8,.455,0.6,2.4,.244,2.6,3.1,.830,1.1,2.9,4.0,3.0,1.0,0.3,2.3,2.9,2022
108,Martin Breunig,EWE,24,19.7,8.5,3.2,5.7,.566,0.0,0.1,.000,2.0,2.7,.766,2.0,2.3,4.3,0.8,0.8,0.1,1.1,2.3,2022
109,J.D. Miller,GIE,23,22.2,8.4,3.5,6.4,.544,0.2,0.5,.417,1.3,2.0,.630,1.6,2.9,4.5,1.6,0.7,0.6,1.7,2.1,2022
110,Ognjen Jaramaz,BAY,35,21.2,8.3,2.9,7.1,.405,1.1,3.6,.315,1.5,1.9,.788,0.5,1.4,1.9,2.2,0.8,0.1,1.5,2.6,2022
111,Elias Lasisi,CRA,28,21.7,8.3,2.7,6.4,.425,1.6,4.4,.369,1.3,1.5,.833,0.3,2.2,2.5,1.3,0.6,0.1,0.6,1.3,2022
112,Karim Jallow,RUL,30,19.7,8.3,3.1,5.8,.532,0.6,2.0,.283,1.6,2.3,.671,0.9,1.9,2.8,0.9,0.8,0.1,1.6,2.0,2022
113,Bogdan Radosavljevic,CRA,27,22.3,8.1,2.8,6.6,.419,1.2,3.6,.333,1.4,1.9,.745,1.3,2.7,3.9,1.6,0.4,0.2,1.8,3.3,2022
114,Jeff Roberson,GOE,34,23.8,8.1,2.9,6.2,.474,0.9,2.4,.375,1.4,1.7,.793,1.6,3.1,4.6,0.6,0.9,0.4,1.2,3.0,2022
115,Lukas Meisner,HAM,35,18.6,8.1,3.1,6.5,.473,1.2,3.3,.371,0.8,1.2,.628,1.2,2.7,3.9,1.1,0.7,0.3,1.2,2.0,2022
116,Yovel Zoosman,BER,39,20.3,8.1,2.8,7.0,.404,1.3,3.7,.342,1.2,1.7,.687,0.9,2.3,3.1,1.7,1.1,0.2,1.0,1.7,2022
117,Harper Kamp,GOE,30,19.6,8.0,3.1,5.7,.547,0.2,0.6,.368,1.6,2.2,.712,1.0,2.4,3.4,1.3,1.0,0.2,1.2,3.3,2022
118,Luke Sikma,BER,36,21.3,8.0,3.1,6.1,.502,0.5,1.1,.425,1.3,2.1,.632,1.9,3.6,5.4,5.0,0.8,0.3,2.7,1.5,2022
119,Othello Hunter,BAY,24,19.5,8.0,3.3,5.5,.595,0.1,0.5,.250,1.3,1.7,.780,2.2,2.8,5.0,1.0,0.7,0.4,1.5,2.0,2022
120,Fabian Bleck,CRA,31,27.0,7.9,3.0,5.5,.538,0.8,2.4,.347,1.2,1.4,.837,1.3,3.2,4.5,1.9,0.9,0.2,0.9,3.5,2022
121,Kyan Anderson,GIE,13,22.7,7.9,2.6,7.3,.358,1.2,4.0,.288,1.5,2.2,.714,0.2,0.6,0.8,3.2,0.3,0.2,1.4,2.0,2022
122,Maximilian Ugrai,MLP,34,19.9,7.9,2.5,5.3,.475,0.6,1.7,.386,2.2,2.6,.852,1.0,1.8,2.8,0.9,0.6,0.2,1.1,3.3,2022
123,Jonas Richter,BVC,37,21.1,7.8,3.2,5.7,.564,0.4,1.4,.308,0.9,1.8,.515,1.5,3.0,4.5,1.6,0.9,0.5,1.6,3.0,2022
124,Nihad Djedovic,BAY,35,18.7,7.8,2.4,5.1,.475,0.7,2.1,.324,2.3,2.9,.810,0.8,2.3,3.1,1.3,0.5,0.1,1.1,2.0,2022
125,Eric Washington,BVC,22,19.0,7.8,2.8,6.5,.424,0.5,2.1,.217,1.8,2.3,.780,0.2,1.5,1.7,2.8,0.9,0.0,2.5,1.2,2022
126,Andreas Seiferth,BAY,16,17.2,7.8,3.3,5.6,.578,0.1,0.1,1.000,1.2,1.9,.613,1.3,3.1,4.4,1.6,0.3,0.3,1.3,2.2,2022
127,Len Schoormann,FRA,30,22.4,7.7,2.6,6.9,.383,1.1,3.8,.281,1.4,1.8,.774,0.5,1.4,1.9,0.9,0.7,0.2,1.7,1.6,2022
128,Louis Olinde,BER,38,17.6,7.7,2.7,5.6,.493,0.7,2.4,.300,1.5,1.8,.826,1.1,2.7,3.8,0.7,0.7,0.4,0.9,1.5,2022
129,Justus Hollatz,HAM,33,23.1,7.7,2.6,5.9,.439,0.8,2.5,.305,1.7,2.3,.737,0.7,1.5,2.2,5.6,1.4,0.1,2.1,2.8,2022
130,Martin Geben,BRO,37,14.7,7.5,3.1,4.6,.661,0.0,0.0,1.000,1.4,1.9,.732,1.6,2.8,4.4,0.7,0.3,0.8,1.2,2.4,2022
131,Bastian Doreth,BAY,27,27.8,7.5,2.5,6.1,.404,1.4,3.8,.379,1.1,1.1,.968,0.6,2.1,2.7,5.2,0.7,0.0,2.4,2.5,2022
132,Tim Schneider,BER,17,14.8,7.5,2.7,5.3,.511,1.5,3.2,.481,0.5,0.8,.643,0.8,1.8,2.5,0.8,0.3,0.2,0.6,1.2,2022
133,Ondrej Sehnal,BLB,33,24.3,7.4,2.4,6.3,.380,1.0,2.9,.351,1.6,2.8,.570,0.2,1.8,2.0,6.0,0.7,0.0,2.8,2.7,2022
134,Tamir Blatt,BER,40,18.3,7.4,2.2,6.1,.357,1.8,4.7,.370,1.3,1.5,.852,0.5,1.4,1.9,5.0,0.4,0.0,2.1,0.6,2022
135,Luc Van Slooten,BLB,29,20.7,7.4,2.4,6.8,.357,1.5,4.7,.314,1.1,1.8,.608,0.8,2.3,3.1,1.1,1.2,0.1,1.6,2.2,2022
136,Matt Haarms,FRA,28,18.4,7.4,3.1,5.3,.585,0.0,0.0,.000,1.2,1.8,.694,1.4,3.1,4.5,0.4,0.4,1.3,1.2,2.3,2022
137,T.J. Holyfield,EWE,26,21.3,7.3,2.9,5.9,.497,1.0,2.7,.357,0.5,0.8,.667,1.5,3.4,5.0,0.8,1.0,0.7,1.3,1.9,2022
138,Seth Hinrichs,HAM,35,25.2,7.3,3.1,5.6,.543,0.2,0.8,.222,1.1,1.7,.617,2.4,3.6,6.0,2.6,0.9,0.1,1.6,2.8,2022
