#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,year
36,Isaiah Miles,DIJ,.636,.596,182.2,6.0,17.8,11.5,3.7,9.2,1.6,1.6,19.0,-2.1,1.4,120.5,109.3,11.2,283.0,18.2,2017
37,Marc Trasolini,NAN,.580,.544,145.1,7.2,17.9,12.4,7.3,12.8,2.0,3.2,19.4,-2.6,1.4,111.0,109.5,1.6,310.8,18.2,2017
38,Jonathan Rousselle,CHO,.661,.640,174.3,1.5,12.6,7.1,28.8,16.4,2.8,0.0,17.1,5.0,1.5,125.7,111.3,14.4,223.9,18.2,2017
39,Romeo Travis,STR,.498,.468,126.6,11.1,18.3,14.7,18.5,11.0,2.2,1.6,20.5,2.2,1.1,111.5,102.3,9.2,341.8,18.1,2017
40,Axel Bouteille,CHA,.596,.578,162.7,7.0,16.7,12.2,7.4,8.2,1.3,0.2,18.9,-0.2,1.3,120.8,106.8,14.0,282.6,18.1,2017
41,Mouhammadou Jaiteh,STR,.546,.527,112.2,9.7,24.4,17.1,12.7,15.8,1.0,3.2,24.4,-3.6,1.3,103.7,102.5,1.2,308.4,18.0,2017
42,Brian Conklin,N92,.580,.544,146.9,9.5,11.3,10.4,6.8,12.7,1.6,1.1,22.5,-3.4,1.4,113.3,109.1,4.2,165.9,18.0,2017
43,Amara Sy,ASM,.562,.512,149.3,9.6,17.4,13.3,11.5,13.8,2.2,2.2,17.8,-0.7,1.3,116.8,99.9,16.9,247.1,17.9,2017
44,A.J. Slaughter,STR,.607,.579,169.4,1.8,9.9,5.9,19.6,14.0,1.9,0.2,22.6,0.5,1.3,115.7,107.1,8.5,376.3,17.8,2017
45,DaShaun Wood,CSP,.554,.532,153.2,3.1,8.4,5.7,26.2,10.7,3.5,0.3,18.3,5.7,1.2,117.9,109.1,8.8,299.8,17.8,2017
46,Chris Warren,N92,.597,.556,167.2,1.7,6.7,4.2,24.1,13.3,1.1,0.2,21.0,3.5,1.3,121.3,112.2,9.1,332.3,17.6,2017
47,Mouphtaou Yarou,LEM,.494,.439,117.6,14.2,27.4,20.5,6.4,9.9,1.4,0.6,19.4,-1.6,1.1,108.8,110.6,-1.8,178.1,17.6,2017
48,Sarra Camara,CSP,.562,.543,113.1,12.4,19.6,15.9,11.0,15.9,1.3,0.7,22.1,-3.4,1.3,107.5,110.8,-3.2,296.4,17.5,2017
49,Mark Payne,RCB,.635,.580,175.4,2.4,11.6,6.9,20.9,16.0,2.9,0.3,14.9,3.5,1.5,122.0,114.1,7.9,303.3,17.3,2017
50,Jason Rich,PLV,.539,.502,152.9,2.4,8.3,5.4,24.1,14.5,1.8,0.2,26.6,0.2,1.2,108.0,106.6,1.4,354.6,17.3,2017
51,William Howard,HYT,.596,.565,158.2,4.4,17.9,10.9,13.7,14.0,2.3,0.8,17.3,0.2,1.3,117.1,105.3,11.8,267.0,17.2,2017
52,Ike Udanoh,HYT,.481,.461,103.6,12.6,23.8,18.0,11.7,14.6,3.2,2.0,18.2,-1.2,1.1,102.7,99.8,3.0,175.0,17.0,2017
53,Sek Henry,GRV,.559,.524,156.0,2.8,10.1,6.3,14.3,10.6,2.6,0.9,20.5,0.9,1.2,112.2,110.5,1.6,221.9,17.0,2017
54,Landing Sane,PLV,.519,.509,134.3,7.7,17.1,12.4,8.4,11.1,1.4,5.0,24.5,-2.7,1.1,105.1,100.6,4.6,185.1,16.9,2017
55,Tim Blue,ANT,.544,.503,160.5,6.0,19.4,12.9,20.8,18.9,1.4,1.5,25.0,-2.7,1.2,102.1,107.8,-5.7,311.8,16.6,2017
56,C.J. Fair,CSP,.559,.516,160.8,6.9,16.3,11.5,6.3,12.9,1.5,3.2,22.1,-3.6,1.2,106.7,109.5,-2.7,218.1,16.5,2017
57,Dario Hunt,NAN,.532,.541,96.8,12.6,21.3,16.8,10.6,15.9,0.7,3.1,19.8,-2.8,1.3,103.5,111.7,-8.2,246.8,16.2,2017
58,Sergii Gladyr,ASM,.622,.583,165.4,3.7,9.9,6.7,10.0,14.4,3.0,0.4,19.0,-1.7,1.4,119.3,101.0,18.3,169.4,16.1,2017
59,Erving Walker,STR,.542,.486,153.0,1.6,7.4,4.6,28.9,16.1,2.1,0.0,23.0,3.6,1.3,110.6,107.6,3.1,286.9,15.9,2017
60,Lance Harris,CHA,.588,.575,154.0,3.4,11.2,7.6,9.9,10.2,1.2,0.1,20.4,-0.3,1.2,115.0,109.1,5.9,322.8,15.9,2017
61,Alex Young,RCB,.540,.509,153.1,4.9,10.7,7.7,9.3,12.7,2.1,1.8,26.6,-3.4,1.2,100.6,115.6,-15.0,226.6,15.8,2017
62,Micah Downs,ORL,.622,.599,170.2,2.6,15.3,9.2,17.8,19.1,1.3,1.1,21.1,-2.1,1.4,108.3,114.2,-5.9,245.0,15.7,2017
63,Jacques Alingue,DIJ,.594,.604,105.6,7.6,20.1,13.4,8.9,15.6,1.9,2.9,16.3,-1.8,1.3,109.5,106.6,3.0,171.8,15.7,2017
64,Kyle Gibson,GRV,.564,.528,165.9,1.1,9.6,5.2,13.6,14.0,1.5,0.5,25.2,-2.5,1.2,104.9,112.0,-7.1,250.8,15.6,2017
65,DeMarcus Nelson,LYV,.573,.527,172.0,5.1,15.0,10.3,27.4,24.1,2.4,1.2,18.5,0.9,1.3,105.4,103.8,1.7,302.8,15.6,2017
66,Marcellus Sommerville,ORL,.538,.494,152.2,5.8,19.1,12.6,10.0,12.9,1.8,0.4,24.5,-2.9,1.2,103.2,112.4,-9.3,241.3,15.6,2017
67,Heiko Schaffartzik,N92,.577,.550,163.4,2.1,6.3,4.2,23.4,13.8,1.6,0.1,18.2,4.4,1.2,120.2,110.8,9.4,262.9,15.6,2017
68,Erik Murphy,STR,.549,.532,155.8,7.2,16.2,11.8,9.3,14.1,1.1,3.5,23.2,-3.4,1.2,104.3,104.0,0.3,215.5,15.3,2017
69,Kyle McAlarney,ORL,.677,.656,192.5,1.5,4.8,3.2,17.0,16.7,1.1,0.0,19.4,-0.5,1.4,116.6,118.9,-2.3,176.3,15.2,2017
70,Mickael Gelabale,LEM,.604,.578,172.0,5.9,12.3,9.0,10.7,13.9,0.7,0.9,17.7,-1.2,1.3,114.8,115.0,-0.2,195.0,15.1,2017
71,Axel Julien,DIJ,.547,.500,158.5,2.4,14.6,8.2,27.7,21.2,2.5,0.3,23.3,0.6,1.2,100.5,108.8,-8.3,188.8,15.0,2017
72,Hugo Invernizzi,N92,.597,.597,138.7,2.8,11.2,6.9,9.9,8.6,2.2,0.3,15.0,1.4,1.2,122.0,108.3,13.7,160.6,14.6,2017
73,Alex Urtasun,NAN,.557,.509,159.9,2.4,11.2,6.7,15.7,13.8,1.7,0.2,19.9,0.1,1.3,108.0,114.0,-6.0,211.1,14.0,2017
74,William Buford,CSP,.513,.479,155.6,5.1,13.5,9.3,16.7,12.8,1.3,0.4,21.5,0.4,1.1,104.3,111.7,-7.4,252.8,13.8,2017
75,Alexandre Chassang,HYT,.572,.559,147.6,9.0,11.7,10.3,9.9,17.4,2.0,1.1,14.4,-1.4,1.2,111.2,107.6,3.5,131.1,13.7,2017
76,Louis Campbell,PLV,.538,.473,154.4,3.2,12.9,8.1,26.5,26.2,2.8,0.4,16.8,1.8,1.2,102.9,102.6,0.2,350.6,13.6,2017
77,Steven Smith,RCB,.575,.559,166.7,2.9,19.0,10.7,12.8,16.3,1.0,0.4,21.1,-2.0,1.2,101.7,117.2,-15.5,238.3,13.5,2017
