#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
120,Wilfried Yeguete,ASM,24,17.4,7.0,3.0,4.6,.649,0.0,0.0,.000,1.0,2.4,.421,2.1,4.1,6.2,0.9,0.8,0.3,0.8,2.4,2020
121,J.P. Batista,LEM,21,16.5,7.0,3.0,5.6,.530,0.0,0.0,.000,1.0,1.2,.846,1.2,2.4,3.6,1.8,0.2,0.1,1.7,2.0,2020
122,Antoine Diot,LYV,19,19.3,6.9,2.2,5.1,.427,1.2,2.9,.393,1.5,1.7,.848,0.3,2.1,2.4,4.9,0.9,0.2,2.0,1.5,2020
123,Petr Cornelie,PAU,25,19.8,6.9,2.8,5.8,.483,0.8,2.2,.345,0.6,1.1,.500,1.8,3.3,5.1,1.2,0.1,0.4,1.2,2.6,2020
124,Jacques Alingue,LEM,25,23.9,6.9,3.1,4.8,.645,0.0,0.0,.000,0.7,1.6,.436,1.7,3.0,4.7,1.6,1.4,0.6,1.4,2.6,2020
125,Ludovic Beyhurst,CSP,12,18.7,6.8,2.3,4.6,.491,1.0,2.3,.429,1.3,1.4,.941,0.3,1.2,1.5,4.3,1.4,0.1,1.1,2.8,2020
126,Jordan Taylor,LYV,24,19.5,6.8,1.8,5.6,.328,0.6,2.3,.255,2.5,3.4,.753,0.5,1.4,1.8,3.6,0.8,0.1,1.2,2.7,2020
127,Kevin Harley,BBD,18,22.1,6.8,2.3,5.3,.427,0.3,1.3,.208,1.9,2.7,.729,0.6,2.2,2.8,2.5,0.6,0.1,1.8,2.3,2020
128,Maxime Courby,JLB,25,22.0,6.7,2.4,5.0,.480,0.8,2.5,.333,1.1,1.3,.818,0.7,2.6,3.4,0.9,0.8,0.1,0.7,1.8,2020
129,Theo Maledon,LYV,21,16.2,6.7,2.0,5.2,.394,0.8,2.7,.286,1.9,2.1,.867,0.2,1.7,1.9,2.0,0.7,0.1,1.5,2.3,2020
130,Ismael Bako,LYV,21,14.1,6.6,2.4,3.8,.633,0.0,0.0,.000,1.9,2.3,.796,1.6,2.0,3.6,0.4,0.4,1.1,0.5,2.5,2020
131,Jamar Wilson,JLB,17,18.5,6.5,2.0,5.1,.391,0.9,2.8,.333,1.6,1.8,.871,0.5,1.8,2.3,3.0,0.5,0.0,1.5,2.0,2020
132,Taurean Green,LEM,23,21.2,6.5,1.8,5.2,.353,1.2,3.7,.333,1.7,2.0,.809,0.1,1.6,1.7,3.7,1.0,0.0,1.8,2.2,2020
133,Jeremy Leloup,DIJ,25,22.4,6.5,2.0,4.9,.402,1.1,3.4,.318,1.5,1.8,.864,0.4,2.1,2.6,1.5,1.0,0.2,1.0,3.1,2020
134,Michael Fakuade,RCB,25,17.8,6.4,2.5,5.4,.459,0.7,2.2,.315,0.7,1.0,.692,1.3,2.8,4.1,0.7,0.3,0.6,1.1,2.5,2020
135,Saulius Kulvietis,DIJ,12,14.7,6.3,2.1,4.4,.472,1.3,2.8,.455,0.9,1.3,.733,0.7,1.6,2.3,0.6,0.3,0.1,0.5,1.4,2020
136,Hamady Ndiaye,GRV,19,19.6,6.2,2.7,4.2,.650,0.0,0.0,.000,0.7,1.8,.371,1.1,2.8,3.9,0.8,0.6,1.8,1.3,2.3,2020
137,Bastien Pinault,PLV,17,13.2,6.1,2.2,5.1,.442,1.5,3.8,.400,0.1,0.1,1.000,0.1,0.5,0.5,0.7,0.5,0.0,0.6,1.8,2020
138,Antonio Ballard,PORT,24,18.4,5.9,2.1,4.3,.495,0.2,0.7,.250,1.5,2.4,.614,1.7,2.1,3.8,0.9,0.3,0.1,1.1,1.2,2020
139,Nianta Diarra,CHO,20,14.6,5.8,2.5,3.6,.681,0.1,0.3,.167,0.9,1.3,.654,1.4,2.0,3.4,0.3,0.5,0.5,1.2,2.1,2020
140,Mouphtaou Yarou,PLV,14,12.3,5.6,1.8,3.2,.556,0.0,0.0,.000,2.0,2.7,.737,1.1,1.6,2.8,0.4,0.1,0.1,0.4,1.3,2020
141,Sadio Doucoure,PLV,11,13.8,5.5,1.8,3.5,.513,0.6,1.8,.350,1.3,1.5,.824,0.5,1.9,2.4,0.8,0.4,0.2,0.7,1.7,2020
142,Paul Lacombe,ASM,19,19.7,5.5,2.3,5.1,.443,0.4,1.2,.348,0.6,0.8,.688,1.0,2.3,3.3,2.4,1.1,0.2,1.5,2.8,2020
143,Jaka Klobucar,CHA,16,18.9,5.5,1.3,4.8,.273,0.7,2.7,.256,2.2,3.0,.729,0.4,2.1,2.4,2.2,0.4,0.1,1.6,1.9,2020
144,Gaylor Curier,ORL,14,16.5,5.4,1.9,4.1,.448,1.2,2.9,.425,0.5,0.5,1.000,0.7,1.1,1.8,1.0,0.5,0.2,1.1,1.6,2020
145,Olivier Cortale,ROA,25,16.8,5.1,2.0,4.5,.438,0.5,1.5,.342,0.6,0.9,.727,0.8,2.1,2.9,0.5,0.4,0.2,0.9,2.0,2020
146,Vafessa Fofana,CHO,25,18.8,5.0,1.8,4.2,.423,0.4,1.5,.297,1.0,1.4,.694,0.7,1.4,2.0,1.2,0.6,0.1,1.3,2.1,2020
147,Remi Lesca,BBD,25,20.2,4.9,1.7,4.4,.394,1.0,2.8,.371,0.4,0.6,.733,0.1,1.2,1.2,3.3,0.9,0.1,0.8,2.5,2020
148,Quentin Serron,STR,22,18.5,4.9,2.0,3.8,.518,0.7,1.4,.484,0.3,0.3,1.000,0.2,1.4,1.5,1.2,0.4,0.1,0.5,2.3,2020
149,Malela Mutuale,ORL,25,21.6,4.9,1.6,4.6,.336,0.2,1.0,.192,1.6,2.2,.696,0.4,1.8,2.2,2.6,0.9,0.0,1.5,2.0,2020
150,Abdoulaye Loum,DIJ,25,16.3,4.9,2.1,4.0,.515,0.2,1.1,.185,0.5,1.1,.481,1.1,2.5,3.6,1.2,0.5,0.5,0.7,2.0,2020
151,Jean-Frederic Morency,BBD,25,15.4,4.8,1.7,2.8,.592,0.1,0.5,.250,1.4,2.6,.523,0.9,2.2,3.0,0.7,0.8,0.3,1.0,2.7,2020
152,Damien Bouquet,N92,25,18.9,4.6,1.6,3.3,.500,1.0,1.9,.500,0.4,0.4,.909,0.4,1.2,1.6,1.9,0.5,0.0,0.6,1.5,2020
153,Landing Sane,ASM,23,14.2,4.6,1.7,4.0,.413,1.0,2.4,.429,0.3,0.4,.600,1.0,1.6,2.6,0.3,0.5,0.3,0.5,1.7,2020
154,Ivan Fevrier,PLV,25,12.7,4.6,1.7,3.6,.467,0.8,1.8,.467,0.4,0.5,.692,0.6,0.8,1.5,0.2,0.3,0.1,0.4,1.8,2020
155,Ilkan Karaman,CHO,15,12.3,4.3,1.9,4.1,.459,0.3,1.0,.333,0.3,0.4,.667,0.4,1.5,1.9,0.4,0.4,0.1,0.7,1.7,2020
156,Digue Diawara,PAU,25,14.4,4.3,1.6,3.8,.415,0.4,1.4,.250,0.8,1.0,.840,0.6,2.1,2.8,0.6,0.4,0.2,0.9,1.0,2020
157,Rihards Lomazs,LYV,22,15.4,4.3,1.2,3.6,.342,0.7,2.3,.300,1.1,1.4,.833,0.4,0.8,1.2,1.0,0.5,0.0,0.5,2.1,2020
158,Kim Tillie,ASM,20,16.7,4.3,1.7,3.7,.459,0.8,2.2,.364,0.1,0.1,.500,1.3,2.5,3.7,1.3,0.5,0.1,0.6,2.3,2020
159,Benoit Mbala,CSP,17,12.3,4.2,1.5,3.1,.491,0.1,0.5,.250,1.1,2.2,.474,1.1,1.6,2.8,0.5,0.8,0.3,0.4,1.8,2020
160,Pape Sy,GRV,15,19.1,4.1,1.5,3.9,.373,0.5,1.7,.320,0.7,0.9,.769,0.3,1.8,2.1,0.8,0.5,0.2,0.3,2.0,2020
161,Cyrille Eliezer-Vanerot,PORT,20,19.3,4.1,1.6,4.4,.368,0.6,2.2,.273,0.3,0.6,.545,0.2,1.6,1.7,1.0,0.4,0.2,1.5,2.7,2020
162,Leopold Cavaliere,PAU,24,18.8,3.9,1.7,3.2,.519,0.3,1.0,.261,0.3,0.9,.364,1.4,2.8,4.2,1.2,0.8,0.1,0.6,2.6,2020
163,Jerome Sanchez,BBD,13,18.3,3.8,1.6,3.8,.420,0.1,0.8,.100,0.5,1.0,.538,0.5,2.3,2.8,2.0,0.8,0.2,1.3,1.5,2020
164,Pierre Drouault,PORT,19,18.7,3.8,1.3,4.2,.300,0.4,1.9,.194,0.9,1.2,.773,0.6,2.1,2.7,1.3,0.5,0.2,0.6,2.1,2020
165,Atoumane Diagne,CSP,19,9.8,3.7,1.6,2.5,.638,0.0,0.0,.000,0.5,0.9,.556,1.2,2.3,3.4,0.2,0.3,0.7,0.8,1.8,2020
166,Thomas Ville,ROA,23,17.2,3.5,1.3,2.6,.492,0.5,1.3,.379,0.5,0.7,.750,0.3,1.0,1.3,1.8,0.4,0.1,0.7,1.8,2020
167,Clement Cavallo,ROA,25,19.5,3.4,1.2,2.5,.476,0.2,0.9,.261,0.8,0.9,.826,0.6,2.5,3.0,1.6,0.6,0.1,0.9,3.0,2020
168,Matthew Strazel,LYV,14,11.4,3.1,0.8,2.4,.324,0.5,1.4,.350,1.1,1.2,.882,0.1,0.4,0.6,2.0,0.6,0.0,1.2,2.1,2020
169,Mehdy Ngouama,N92,18,8.3,2.9,1.1,3.2,.333,0.2,1.1,.158,0.6,0.8,.733,0.1,0.5,0.6,1.2,0.3,0.1,0.9,1.6,2020
