#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
124,"Derek Cooke, Jr.",NAS,50,21.5,7.4,3.3,5.9,.558,0.0,0.1,.000,0.9,1.9,.458,3.3,4.2,7.5,0.8,0.8,0.6,1.2,2.4,2017
125,Nick Zeisloft,FWN,47,14.8,7.4,2.4,6.0,.397,1.9,4.9,.395,0.7,0.8,.821,0.3,0.9,1.2,0.4,0.3,0.1,0.4,0.9,2017
126,Beau Beech,LIN,36,19.3,7.4,2.4,6.6,.369,1.4,3.9,.366,1.1,1.4,.780,0.6,2.2,2.8,1.2,1.1,0.1,1.0,2.8,2017
127,Ramon Harris,GRD,49,23.0,7.3,2.5,6.6,.380,1.7,4.7,.370,0.6,1.4,.463,0.3,3.9,4.2,0.9,0.7,0.4,0.9,2.4,2017
128,Coron Williams,MNE,50,22.0,7.1,2.5,6.5,.393,1.7,4.9,.352,0.3,0.3,.882,0.4,1.5,1.9,1.4,0.3,0.1,0.7,1.4,2017
129,Brandon Triche,SLC,48,19.3,6.9,2.5,5.8,.432,0.7,2.0,.365,1.2,1.6,.750,0.5,1.7,2.2,1.8,0.6,0.2,1.0,1.8,2017
130,Roosevelt Jones,CLE,46,27.6,6.6,3.0,6.1,.493,0.1,0.5,.182,0.5,1.1,.442,2.3,4.0,6.4,3.1,1.4,0.2,1.2,2.4,2017
131,Speedy Smith,SBL,47,22.3,6.5,2.2,6.7,.333,0.7,2.6,.264,1.4,1.9,.719,0.7,2.5,3.2,3.9,1.4,0.1,1.8,1.8,2017
132,Ryan Arcidiacono,AUS,47,27.5,6.5,2.3,4.9,.472,0.9,2.0,.421,1.0,1.3,.814,0.5,3.2,3.7,3.8,0.9,0.1,1.6,2.1,2017
133,Kyle Collinsworth,TEX,36,27.3,6.4,2.7,6.2,.430,0.3,1.2,.286,0.8,1.4,.549,2.8,4.3,7.1,3.9,1.8,0.9,1.3,2.6,2017
134,Chris Horton,GRD,49,18.6,6.2,2.5,4.2,.600,0.0,0.0,.000,1.2,2.0,.602,2.8,2.8,5.5,0.3,0.8,0.9,1.2,2.7,2017
135,Ferrakohn Hall,WCB,46,18.5,6.0,2.4,6.0,.406,0.5,1.7,.289,0.7,1.0,.660,0.8,2.3,3.1,0.8,0.4,0.3,1.0,2.7,2017
136,Chris Walker,RGV,47,13.2,5.9,2.1,3.6,.585,0.0,0.1,.333,1.6,2.1,.733,1.6,2.2,3.9,0.5,0.5,0.9,0.8,1.9,2017
137,Johnathan Jordan,RAP,40,17.6,5.9,2.1,4.9,.423,0.5,1.2,.408,1.2,1.7,.716,0.6,1.9,2.5,3.2,1.1,0.1,1.1,1.8,2017
138,Carlos Lopez-Sosa,DEL,38,14.9,5.8,2.4,3.8,.629,0.0,0.0,.000,1.1,1.7,.641,1.2,2.4,3.7,1.1,0.3,0.5,1.2,1.9,2017
139,Jaylen Bland,SLC,39,19.0,5.7,1.9,5.9,.315,1.6,5.1,.318,0.3,0.5,.684,0.2,1.9,2.1,0.8,0.6,0.1,0.5,1.6,2017
140,Trey Freeman,GRD,39,22.7,5.7,2.3,6.1,.373,0.7,2.1,.325,0.5,0.6,.750,0.3,2.7,3.0,2.2,0.7,0.1,0.7,1.6,2017
141,Demetri McCamey,AUS,41,17.0,5.6,1.9,5.7,.336,0.7,2.7,.270,1.0,1.2,.843,0.1,1.7,1.8,2.1,0.5,0.0,1.1,1.4,2017
142,Jonathan Octeus,WCB,41,16.0,5.6,2.0,4.9,.400,0.5,1.2,.373,1.3,1.8,.712,0.7,2.0,2.7,2.1,0.5,0.1,0.8,1.9,2017
143,Mike Williams,CLE,43,18.1,5.6,2.0,5.0,.396,1.1,2.7,.412,0.5,0.8,.639,0.1,1.7,1.7,2.1,0.6,0.1,0.8,1.4,2017
144,Asauhn Dixon-Tatum,MNE,42,16.6,5.5,2.2,4.1,.543,0.0,0.0,.000,1.0,1.6,.612,1.7,1.8,3.5,0.2,0.1,0.7,0.9,2.0,2017
145,Chris Anderson,GRD,39,17.1,5.4,2.1,3.8,.558,0.1,0.3,.273,1.1,1.6,.694,2.2,2.7,4.9,0.6,0.7,0.9,0.8,3.5,2017
146,Christian Watford,RAP,39,15.4,5.2,1.5,4.4,.347,1.2,3.0,.393,0.9,1.1,.860,0.6,2.2,2.7,0.7,0.5,0.3,0.6,1.5,2017
147,Michael Lyons,ERI,41,20.3,5.2,1.9,4.9,.382,1.0,2.8,.342,0.5,0.8,.710,0.9,1.5,2.3,0.9,0.8,0.1,0.4,1.9,2017
148,Michael Bryson,NAS,46,18.2,5.1,1.8,4.7,.386,1.1,2.9,.379,0.4,0.6,.741,0.4,2.0,2.4,0.8,0.4,0.8,0.4,1.9,2017
149,Terrence Drisdom,SCW,43,17.9,5.1,2.0,4.2,.464,0.3,1.0,.302,0.9,1.1,.787,0.8,2.8,3.6,1.4,0.7,0.6,0.6,1.3,2017
150,Shonn Miller,GBO,45,15.6,5.0,2.0,4.0,.494,0.2,0.8,.286,0.8,1.2,.625,1.1,2.4,3.5,0.4,0.7,0.6,0.6,2.3,2017
151,Kellen Dunham,IWA,35,17.0,4.9,1.7,4.1,.423,0.9,2.3,.366,0.6,0.6,.952,0.3,1.7,2.0,0.6,0.5,0.2,0.8,0.8,2017
152,Bryson Fonville,TEX,49,16.3,4.8,2.0,4.7,.428,0.6,1.7,.354,0.2,0.3,.600,0.3,0.8,1.1,2.5,0.7,0.1,1.1,1.7,2017
153,Gerald Beverly,CLE,40,11.6,4.8,1.9,3.1,.592,0.1,0.1,.400,1.0,1.5,.678,1.7,1.8,3.4,0.1,0.2,0.4,0.3,1.6,2017
154,Kameron Woods,OKL,50,25.5,4.6,1.8,4.4,.401,0.4,1.6,.235,0.6,1.0,.640,0.7,3.8,4.5,1.5,0.7,0.6,1.2,1.3,2017
155,Keith Hornsby,TEX,37,12.2,4.5,1.8,3.7,.482,0.3,0.9,.344,0.7,0.9,.758,0.5,1.5,2.0,1.0,0.4,0.1,0.4,0.7,2017
156,Ralston Turner,GBO,37,12.1,4.4,1.5,3.4,.425,1.0,2.5,.409,0.5,0.6,.708,0.3,1.3,1.6,0.4,0.2,0.1,0.6,1.9,2017
157,Cameron Ayers,MNE,33,19.5,4.3,1.4,4.8,.299,1.2,3.8,.307,0.3,0.3,.909,0.5,1.3,1.8,0.8,0.4,0.1,0.5,0.8,2017
158,Dallas Lauderdale,MNE,37,17.2,4.1,1.8,2.8,.637,0.0,0.0,.000,0.6,0.8,.724,1.6,3.1,4.7,0.5,0.4,1.5,0.9,2.1,2017
159,Myke Henry,OKL,38,12.1,3.5,1.2,3.2,.383,0.3,1.3,.235,0.8,1.0,.811,0.4,1.4,1.8,0.6,0.7,0.2,0.7,1.6,2017
160,Mark Tyndale,RNO,39,24.8,3.5,1.3,2.5,.510,0.0,0.1,.333,0.9,1.5,.586,1.6,4.1,5.8,3.4,1.3,0.1,1.4,1.6,2017
161,Danny Stewart,AUS,35,14.5,3.5,1.3,2.3,.543,0.0,0.0,.000,0.9,1.4,.688,1.2,2.3,3.5,0.6,0.4,0.2,1.1,2.5,2017
162,Boubacar Moungoro,OKL,43,9.5,2.9,1.0,3.0,.336,0.7,2.4,.311,0.2,0.2,.700,0.1,0.9,1.0,0.3,0.3,0.1,0.3,0.9,2017
