#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,year
36,Brendan Lane,OLI,.600,.569,159.9,7.4,19.3,13.2,12.8,14.3,0.9,5.0,22.1,-2.2,1.4,113.8,112.6,1.2,247.6,18.0,2017
37,Vladimir Lucic,BAY,.688,.631,175.0,5.9,16.2,11.5,12.2,14.1,1.5,0.9,18.5,-0.5,1.7,128.6,101.6,27.1,290.5,18.0,2017
38,Maxime De Zeeuw,EWE,.620,.586,170.9,5.2,23.9,14.6,13.0,12.4,0.9,0.6,22.0,-0.6,1.4,118.6,112.0,6.6,259.6,18.0,2017
39,Nikos Zisis,BRO,.627,.517,175.2,2.4,9.7,6.4,29.5,15.6,1.3,0.2,19.9,6.1,1.6,128.7,104.1,24.6,223.4,17.9,2017
40,Quincy Diggs,EIS,.587,.543,154.1,5.3,17.5,11.3,23.1,19.3,3.1,0.3,23.3,-1.0,1.5,109.7,113.7,-4.0,328.8,17.9,2017
41,Kyan Anderson,BAY,.565,.489,165.8,1.4,7.7,4.6,24.7,14.9,3.2,0.0,24.1,2.2,1.3,115.2,112.7,2.5,273.6,17.8,2017
42,Shavon Shields,FRA,.622,.587,167.3,6.1,16.2,11.1,12.1,13.3,1.8,0.7,20.8,-1.9,1.4,115.8,106.6,9.2,259.0,17.8,2017
43,Julius Jenkins,SCJ,.608,.588,157.3,1.2,7.2,4.1,22.3,11.7,2.2,0.1,23.7,1.7,1.3,116.9,115.9,1.0,227.4,17.8,2017
44,Trey Lewis,BAY,.644,.580,184.0,2.8,9.2,6.1,12.9,12.8,0.7,0.0,23.0,-1.2,1.5,124.6,117.7,6.9,291.1,17.7,2017
45,Lamonte Ulmer,OLI,.585,.548,160.0,7.5,13.9,10.6,10.8,12.1,1.9,2.2,21.5,-1.5,1.3,115.4,112.7,2.7,283.4,17.5,2017
46,Jordan Hulls,EIS,.692,.658,196.9,2.0,10.1,6.0,23.7,18.7,2.2,0.0,18.2,1.6,1.5,124.5,116.9,7.6,317.6,17.5,2017
47,Darius Miller,BRO,.621,.587,182.1,2.5,13.1,8.2,17.5,11.1,1.9,1.1,19.9,2.5,1.3,123.1,101.1,22.1,276.3,17.5,2017
48,Andreas Seiferth,BAY,.597,.564,121.3,11.1,20.7,16.1,12.8,15.2,1.3,1.5,19.6,-1.3,1.5,118.3,109.8,8.5,160.5,17.2,2017
49,De'Mon Brooks,BAY,.622,.550,167.5,4.9,14.4,9.7,5.0,14.0,1.8,1.6,23.0,-4.8,1.5,116.4,112.7,3.7,214.9,17.1,2017
50,Ivan Elliott,EIS,.578,.549,151.1,8.3,20.8,14.4,12.0,12.2,1.9,3.0,18.8,-0.3,1.3,116.0,114.3,1.8,291.6,16.9,2017
51,Filip Barovic,TBB,.613,.560,122.9,8.9,18.5,13.7,6.2,19.1,1.8,2.9,26.3,-8.0,1.7,105.6,110.7,-5.1,126.1,16.9,2017
52,Leon Radosevic,BRO,.662,.664,123.8,9.5,13.8,11.8,7.4,15.8,1.6,2.2,17.8,-2.9,1.6,120.0,103.2,16.8,145.5,16.9,2017
53,Steve Wachalski,BAY,.772,.748,202.1,6.1,17.2,11.8,3.3,11.8,1.8,0.2,13.1,-1.8,1.7,142.6,112.9,29.7,185.3,16.8,2017
54,Jesse Sanders,GOE,.579,.509,170.7,6.3,12.7,9.5,34.2,23.1,2.6,0.4,20.0,3.3,1.4,113.1,110.8,2.2,289.6,16.7,2017
55,Nicolo Melli,BRO,.566,.506,167.8,7.3,21.2,14.8,13.9,13.9,1.9,3.7,18.9,0.5,1.3,115.8,97.2,18.6,318.5,16.6,2017
56,Devin Searcy,RAS,.633,.605,134.7,9.8,24.0,16.6,5.1,14.4,1.3,1.4,16.8,-3.2,1.4,116.4,113.9,2.5,270.8,16.5,2017
57,Barry Stewart,TUB,.555,.526,165.0,2.3,9.9,5.8,22.8,12.0,3.1,0.5,23.8,1.7,1.2,108.6,113.0,-4.4,227.1,16.4,2017
58,Ken Horton,TBB,.566,.526,167.9,4.6,25.3,15.3,10.8,13.7,2.7,2.7,19.4,-1.3,1.2,108.6,107.8,0.8,323.6,16.4,2017
59,Chris Kramer,EWE,.531,.487,142.5,3.0,18.5,10.8,29.4,20.1,3.5,1.2,17.1,5.4,1.2,111.0,107.7,3.3,550.5,16.2,2017
60,Jared Jordan,TUB,.537,.508,158.7,4.1,14.5,8.9,45.4,22.8,2.3,0.2,18.3,8.5,1.1,112.7,115.1,-2.4,356.3,16.1,2017
61,Gary McGhee,TUB,.613,.598,118.1,12.2,21.8,16.7,7.6,19.9,1.6,3.4,17.8,-4.6,1.6,109.9,113.0,-3.1,265.9,15.9,2017
62,Malcolm Miller,BER,.621,.590,160.0,5.1,18.7,12.0,11.3,11.8,1.9,4.0,16.4,0.4,1.4,119.0,107.8,11.2,177.0,15.9,2017
63,Harper Kamp,EIS,.620,.542,168.4,6.7,14.9,10.7,16.2,19.2,1.3,1.1,23.7,-3.7,1.5,112.4,117.9,-5.5,169.3,15.9,2017
64,Nate Linhart,BAY,.572,.539,170.2,5.1,17.1,11.2,18.5,14.7,2.3,1.0,17.0,2.3,1.2,118.7,111.4,7.3,358.9,15.8,2017
65,Immanuel McElroy,SCJ,.582,.531,171.1,5.6,17.0,11.1,19.4,12.8,1.6,0.1,17.6,2.2,1.3,118.3,113.6,4.7,296.9,15.8,2017
66,Joshiko Saibou,GIE,.573,.513,171.5,3.7,13.7,8.5,17.4,14.5,2.6,0.8,21.8,-0.2,1.3,112.6,108.8,3.9,157.6,15.8,2017
67,Dragan Milosavljevic,BER,.635,.578,176.8,4.8,9.7,7.3,24.0,20.9,1.6,0.6,21.3,0.0,1.5,113.5,112.9,0.6,264.0,15.8,2017
68,Niels Giffey,BER,.638,.612,167.5,6.1,18.6,12.4,11.3,15.2,2.2,1.8,17.2,-1.1,1.4,116.2,109.3,6.9,237.4,15.5,2017
69,Isaiah Philmore,TUB,.617,.553,172.2,8.1,18.1,12.8,8.2,18.2,1.4,1.0,24.0,-6.2,1.5,108.3,115.8,-7.5,167.1,15.5,2017
70,Tony Gaffney,BER,.548,.509,149.1,6.7,22.6,14.7,11.4,13.9,2.9,4.3,14.5,0.4,1.2,110.2,105.3,4.9,263.4,15.3,2017
71,Adam Waleskowski,GOE,.523,.494,150.1,6.8,21.4,14.1,13.0,12.3,1.7,3.5,24.4,-2.0,1.1,104.6,108.5,-3.8,182.9,15.2,2017
72,Carlos Medlock,BLB,.605,.552,169.9,0.6,6.5,3.5,29.3,22.1,2.7,0.1,24.8,-1.5,1.4,106.9,118.4,-11.5,217.3,15.1,2017
73,Engin Atsur,BER,.603,.527,165.2,1.5,9.9,5.8,26.4,18.0,2.0,0.2,21.6,2.2,1.4,113.5,113.0,0.5,177.5,15.1,2017
74,Trent Plaisted,HAG,.530,.516,105.6,9.9,21.8,15.7,18.7,17.7,1.4,3.4,20.0,-1.4,1.2,101.9,114.1,-12.2,103.4,15.1,2017
75,Philipp Schwethelm,EWE,.648,.634,171.5,5.3,11.1,8.2,6.5,6.8,2.0,0.5,14.7,0.6,1.4,129.5,113.6,15.9,220.5,14.7,2017
76,David Bell,HAG,.572,.485,167.0,1.3,9.7,5.3,32.1,19.2,1.0,0.0,24.8,0.7,1.4,107.3,119.4,-12.2,101.4,14.6,2017
77,Frank Gaines,RAS,.554,.520,147.4,1.3,10.4,5.6,16.1,14.7,2.2,1.9,26.1,-2.6,1.3,101.5,115.0,-13.5,218.6,14.3,2017
78,Waverly Austin,EIS,.520,.482,107.9,13.1,20.7,16.9,6.2,17.4,0.9,5.6,27.1,-7.6,1.3,97.2,114.4,-17.2,133.6,14.3,2017
79,Skyler Bowlin,GIE,.550,.496,151.8,1.7,9.4,5.4,26.6,18.5,3.3,0.0,18.4,3.4,1.3,110.6,108.8,1.8,228.1,13.9,2017
80,Kelvin Martin,LUD,.538,.488,160.4,5.0,16.2,10.3,10.2,14.0,2.4,2.1,22.2,-3.1,1.2,104.4,105.6,-1.2,134.8,13.9,2017
81,Quantez Robertson,FRA,.524,.471,151.8,5.0,18.5,11.7,17.5,18.3,4.1,0.8,18.3,-0.7,1.2,101.5,99.6,1.8,311.4,13.8,2017
82,Frantz Massenat,EWE,.573,.542,163.7,2.1,8.7,5.4,20.2,12.0,1.6,0.4,18.4,3.8,1.3,117.2,115.6,1.6,282.6,13.6,2017
83,Christian Standhardinger,RAS,.510,.489,135.6,10.5,21.8,15.8,11.0,15.4,1.7,0.5,22.7,-3.5,1.2,97.9,114.3,-16.4,179.0,13.4,2017
84,Carlton Guyton,BLB,.569,.547,157.1,3.0,13.0,7.9,17.5,16.9,1.5,0.0,22.3,-1.8,1.2,104.8,121.1,-16.3,144.5,12.9,2017
85,Derrick Allen,RAS,.546,.507,117.8,8.2,12.1,10.1,10.5,12.4,1.0,0.9,18.0,-0.8,1.3,108.9,118.1,-9.2,174.9,12.8,2017
86,Benas Veikalas,GOE,.524,.480,151.9,3.7,12.7,8.3,15.8,14.5,1.8,0.3,23.4,-1.3,1.2,105.0,110.8,-5.7,166.9,12.5,2017
87,Karvel Anderson,EIS,.572,.544,167.6,3.6,11.4,7.4,12.9,15.8,1.4,0.4,21.0,-2.2,1.2,106.3,118.5,-12.2,183.6,12.4,2017
88,Julian Washburn,TUB,.587,.565,177.0,2.9,13.8,7.9,7.3,11.8,2.5,2.1,14.2,-0.7,1.2,110.6,113.7,-3.1,207.8,12.2,2017
89,Karsten Tadda,RUL,.639,.572,170.6,4.1,10.5,7.3,16.0,18.1,1.4,0.3,12.5,2.2,1.5,125.1,107.6,17.6,181.4,12.0,2017
90,Cliff Hammonds,LUD,.559,.551,141.9,0.5,7.3,3.7,28.0,16.6,1.3,0.4,14.3,5.7,1.2,115.9,111.3,4.6,196.4,12.0,2017
91,Chad Toppert,LUD,.611,.592,169.8,3.0,10.8,6.7,6.3,8.1,1.1,0.0,14.9,-0.2,1.3,122.9,111.0,11.9,123.5,11.8,2017
92,Chris Hass,HAG,.540,.527,158.1,1.6,9.9,5.6,9.7,10.9,2.3,1.6,19.3,-1.3,1.1,102.3,116.7,-14.4,64.6,11.8,2017
93,Mike Morrison,FRA,.560,.554,106.5,7.5,16.5,11.9,8.5,19.7,1.8,2.8,19.5,-5.0,1.5,98.4,104.5,-6.1,148.6,11.7,2017
94,Yorman Polas,TBB,.543,.505,128.7,7.8,13.3,10.6,12.6,19.5,2.3,0.6,17.8,-2.0,1.3,103.3,112.7,-9.4,173.9,11.4,2017
95,Patrick Heckmann,BRO,.564,.507,148.5,3.2,14.4,9.3,12.1,15.8,1.6,1.4,15.1,0.4,1.3,111.5,101.3,10.2,155.0,11.4,2017
96,Taylor Braun,RUL,.532,.490,146.1,3.3,16.6,10.0,10.2,11.9,2.0,0.9,15.4,0.4,1.2,108.8,104.3,4.4,226.4,11.3,2017
97,Nick Johnson,BAY,.518,.426,152.7,3.0,12.6,8.2,26.7,22.2,2.1,1.1,24.3,-0.1,1.3,101.1,100.9,0.1,124.9,11.2,2017
98,Julius Wolf,SCJ,.521,.492,151.7,5.9,15.3,10.4,16.8,14.3,1.5,1.7,15.4,1.5,1.1,107.3,114.1,-6.8,112.1,11.1,2017
99,Moses Ehambe,RAS,.543,.527,164.4,2.6,10.5,6.4,5.3,7.6,1.7,0.9,18.3,-1.0,1.1,105.8,116.9,-11.1,142.9,11.1,2017
100,Fabian Bleck,EIS,.557,.528,131.2,5.3,12.7,8.9,9.2,12.7,1.8,1.6,12.4,0.4,1.4,113.8,117.6,-3.8,140.4,11.0,2017
101,Per Guenther,RUL,.545,.460,160.1,0.8,6.2,3.6,24.5,17.2,0.7,0.0,19.2,3.4,1.3,111.4,111.4,-0.1,171.5,10.9,2017
102,T.J. DiLeo,TBB,.501,.466,139.2,2.2,8.3,5.4,21.8,17.4,2.9,0.1,13.9,4.1,1.1,106.4,112.7,-6.3,141.3,10.6,2017
103,Anton Gavel,BAY,.513,.476,147.4,2.5,9.1,6.1,25.3,18.5,2.0,0.0,15.3,4.9,1.1,109.1,103.6,5.6,188.4,10.4,2017
104,Wayne Bernard,SCJ,.492,.449,144.9,2.0,7.7,4.7,22.9,16.8,3.4,0.3,19.9,1.5,1.1,98.9,112.1,-13.2,131.5,10.4,2017
